offer_id,product,category,ingredient,count,type
48809585803594,"Thistle, Hyde and Rose Wreath - 12 Inch",4,Trachelium,6,stems count
48809585836362,"Thistle, Hyde and Rose Wreath - 14 Inch",4,Hydrangea,5,stems count
48809585836362,"Thistle, Hyde and Rose Wreath - 14 Inch",4,Rose,4,stems count
48809585836362,"Thistle, Hyde and Rose Wreath - 14 Inch",4,Thistle,3,stems count
48809585836362,"Thistle, Hyde and Rose Wreath - 14 Inch",4,Trachelium,6,stems count
48809585869130,"Thistle, Hyde and Rose Wreath - 16 Inch",4,Hydrangea,5,stems count
48809585869130,"Thistle, Hyde and Rose Wreath - 16 Inch",4,Rose,4,stems count
48809585869130,"Thistle, Hyde and Rose Wreath - 16 Inch",4,Thistle,3,stems count
48809585869130,"Thistle, Hyde and Rose Wreath - 16 Inch",4,Trachelium,6,stems count
48809586000202,Ecuadorian Red Roses - 12 Long Stems,1,Rose,18,stems count
48809586262346,BEST DAD Floral Letters - Standard,4,Hydrangea,6,stems count
48809586262346,BEST DAD Floral Letters - Standard,4,Chrysanthemum,24,stems count
48809586262346,BEST DAD Floral Letters - Standard,4,Gerbera,1,stems approx
48809586262346,BEST DAD Floral Letters - Standard,4,Berry,8,stems count
48809586262346,BEST DAD Floral Letters - Standard,4,Bouvardia,12,stems count
48809586262346,BEST DAD Floral Letters - Standard,4,Black Eyed Susan,1,stems approx
48809586295114,BEST DAD Floral Letters - Deluxe,4,Hydrangea,6,stems count
48809586295114,BEST DAD Floral Letters - Deluxe,4,Chrysanthemum,24,stems count
48809586295114,BEST DAD Floral Letters - Deluxe,4,Gerbera,1,stems approx
48809586295114,BEST DAD Floral Letters - Deluxe,4,Berry,8,stems count
48809586295114,BEST DAD Floral Letters - Deluxe,4,Bouvardia,12,stems count
48809586295114,BEST DAD Floral Letters - Deluxe,4,Black Eyed Susan,1,stems approx
48809586327882,Green Flowers Wreath - 12 Inch,4,Chrysanthemum,8,stems count
48809586327882,Green Flowers Wreath - 12 Inch,4,Freesia,5,stems count
48809586327882,Green Flowers Wreath - 12 Inch,4,Anthurium,6,stems count
48809586327882,Green Flowers Wreath - 12 Inch,4,Brassica,3,stems count
48809586360650,Green Flowers Wreath - 14 Inch,4,Chrysanthemum,8,stems count
